symbol  TSC1	TSC2	MSC1	MSC2	NPC1	NPC2	ESC1	ESC2	MES1	MES2
5S_rRNA	13	17	2	2	5	5	31	21	1	1
7SK	23	24	15	14	151	117	269	180	154	154
A1BG	30	45	194	168	196	247	155	88	36	36
A1BG-AS1	247	244	1444	1296	420	476	255	229	241	241
A1CF	4	7	0	0	57	65	23	21	18	18
A2M	394	409	11917	12150	170	220	63	27	7	7
A2M-AS1	85	63	646	842	1182	1170	129	129	183	183
A2ML1	1319	1331	11	9	23	28	2590	2557	755	755
A2ML1-AS1	3	4	0	0	0	0	11	4	6	6
A2ML1-AS2	5	6	0	0	0	0	71	63	16	16
A2MP1	10	3	0	1	78	108	26	40	2	2
A3GALT2	5	4	30	13	11	14	0	1	0	0
A4GALT	2166	2285	3457	3327	2016	2089	2580	3149	2219	2219
A4GNT	13	6	27	14	4	7	8	4	0	0
AAAS	4239	4864	4654	4478	8665	8791	5161	5764	6133	6133
AACS	3828	4410	5483	5475	6619	6832	9582	10006	6926	6926
AACSP1	3	2	1	1	4	8	30	17	17	17
AADAC	7	10	27	38	0	0	0	0	6	6
AADACL2	4	3	1	3	0	0	0	0	0	0
AADACL3	219	195	0	0	0	0	1112	1406	485	485
AADACL4	6	4	0	0	0	0	2	10	7	7
AADAT	11895	12611	1890	2049	4951	5070	1520	1471	4168	4168
AAED1	2397	3104	7651	8322	3399	3598	1927	2337	2550	2550
AAGAB	6634	7571	8972	9772	13113	13233	5315	6317	10143	10143
AAK1	12118	14109	5396	5213	2169	2309	2649	2738	4035	4035
AAMDC	300	327	610	646	420	419	205	219	179	179
AAMP	9719	11119	8772	8771	9420	9005	8936	9965	13162	13162
AANAT	11	12	11	9	29	5	64	30	42	42
AAR2	7643	8984	9349	9355	9404	9811	7104	7828	13824	13824
AARD	16	30	56	62	511	458	615	696	908	908
AARS	26805	30487	22716	22473	15526	14861	28759	30575	34779	34779
AARS2	3119	3705	1522	1491	3808	3785	3747	3741	3261	3261
AARSD1	188	204	244	211	532	502	546	477	488	488
AASDH	1846	2003	1514	1453	6347	6406	2716	3050	1969	1969
AASDHPPT	5904	7804	11934	13177	28634	30060	7077	8121	12585	12585
AASS	4163	4925	4671	4717	21546	22777	124351	109294	18278	18278
AATF	7062	8201	5985	5881	7120	7287	5297	5864	12443	12443
AATK	97	104	56	97	2890	2712	805	809	170	170
AATK-AS1	10	8	0	0	34	18	6	7	2	2
AB015752.3	11	5	1	2	1	0	2	2	1	1
AB019438.66	0	0	0	0	0	0	0	0	0	0
AB019440.1	0	0	0	0	0	0	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0
AB019441.29	37556	43319	78675	78784	161489	179244	104330	110661	83259	83259
ABAT	1419	1679	1341	1532	4816	4915	2343	2567	1909	1909
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0
ABC7-42389800N19.1	1956	2373	2254	2290	3907	3816	1643	1668	1730	1730
ABC7-43041300I9.1	4	5	0	8	7	14	1	0	0	0
ABCA1	5847	6500	40016	38105	13726	14265	1798	1382	1577	1577
ABCA10	21	13	136	163	19	5	2	0	2	2
ABCA11P	412	478	209	214	574	753	577	470	480	480
ABCA12	382	467	18	31	46	75	30	34	16	16
ABCA13	37	48	11	4	69	109	8	26	26	26
ABCA17P	32	53	10	17	165	191	79	78	50	50
