./normal/GSM1112836.count	./normal/GSM916094.count	./cancer/CEMT_19.count	./cancer/CEMT_22.count	./cancer/CEMT_47.count
5S_rRNA	2	10	887	213	772
7SK	51	181	9980	9936	17950
A1BG	3	154	214644	323327	396729
A1BG-AS1	0	64	260962	107615	283005
A1CF	135	264	31792	1522	676
A2M	103	10940	9351785	4100803	27169210
A2M-AS1	0	54	68614	83127	203498
A2ML1	3	354	386304	99157	14069
A2ML1-AS1	1	54	24792	25542	17549
A2ML1-AS2	0	2	232	0	112
A2MP1	3	112	17180	22287	52034
A3GALT2	7	4	2965	1581	3232
A4GALT	342	696	99960	77858	296089
A4GNT	0	2	600	450	675
AAAS	9	1619	5912520	4006004	9182144
AACS	1630	3212	1929347	813005	1877900
AACSP1	0	10	1535	0	1801
AADAC	12	197	12	0	0
AADACL2	0	3	0	683	300
AADACL3	0	0	0	0	0
AADACL4	0	0	164	0	0
AADAT	6	626	1623910	653126	1491918
AAED1	269	468	356446	390608	787952
AAGAB	11	1377	1117798	824367	1394467
AAK1	171	8728	2575730	899859	2097379
AAMDC	9	518	806384	925345	1743433
AAMP	712	3059	10606949	4612635	11597036
AANAT	41	105	8801	9469	4569
AAR2	12	978	1270477	543252	2006764
AARD	4	108	710	0	174
AARS	40	6576	6451316	3606290	9553749
AARS2	352	711	365994	170097	416751
AARSD1	235	371	3063486	2304740	4906759
AASDH	10	1359	1970412	907778	1407011
AASDHPPT	15	2651	3753361	4505678	7720312
AASS	13	618	1703004	490918	1653070
AATF	1897	2241	1867872	2095969	4035091
AATK	8350	8943	3696586	1152683	4416242
AATK-AS1	23	28	9993	4155	5430
AB015752.3	0	14	130	75	315
AB019438.66	0	0	0	0	0
AB019440.1	0	0	0	16	0
AB019440.50	0	2	0	968	0
AB019441.29	1117	3868	75515	240081	323478
ABAT	82	9980	37196722	26149064	46439748
ABC12-47043100G14.2	0	0	239	13	147
ABC7-42389800N19.1	19	532	292405	114588	310469
ABC7-43041300I9.1	0	1	3251	2058	3331
ABCA1	692	1388	3092252	585162	664590
ABCA10	148	331	42992	17550	30371
ABCA11P	0	127	736209	285953	393186
ABCA12	0	26	11976	6854	23565
ABCA13	7	29	13510	1947	1644
ABCA17P	2	472	103530	219529	151798
ABCA2	41505	35280	36545049	8563150	27034963
ABCA3	23	5706	11384625	3254244	21710095
ABCA4	0	38	27792	9191	9718
ABCA5	1281	2266	767645	85849	60974
ABCA6	331	490	16138	12124	33020
ABCA7	15	968	240602	219007	274386
ABCA8	2505	3796	247106	124645	189708
ABCA9	227	512	223027	51476	68712
ABCA9-AS1	2	2	1410	266	411
ABCB1	6	2155	1687974	913407	1226600
ABCB10	8	666	331061	296820	428302
ABCB10P1	1	5	375	0	173
ABCB10P3	0	2	300	0	600
ABCB10P4	0	2	969	300	425
ABCB11	22	68	150	150	300
ABCB4	2	123	93149	166642	230277
ABCB5	4	9	296	236	150
ABCB6	68	433	2855070	1799283	5517147
ABCB7	329	696	1373945	1668252	3748390
ABCB8	17	1783	3593968	912868	4140683
ABCB9	1032	1330	1460002	840346	441666
ABCC1	4	541	2110788	923008	2667929
ABCC10	475	985	809597	383705	1312406
ABCC11	0	48	92384	42983	68380
ABCC12	0	141	16285	1540	0
ABCC13	0	37	2262	3586	0
ABCC2	36	98	12177	9494	7770
ABCC3	96	203	52126	29472	90748
ABCC4	156	396	872965	619857	3134273
ABCC5	21	5658	3686897	2206571	4164783
ABCC5-AS1	3	36	545	778	453
ABCC6	10	349	129058	38281	23278
ABCC6P1	2	42	44650	16158	15702
ABCC6P2	0	9	10819	6141	1233
ABCC8	276	1504	11797005	5435338	3956306
ABCC9	12	896	1185556	183287	588028
ABCD1	171	235	273005	139867	538029
ABCD1P2	1	0	0	0	0
ABCD1P3	0	0	0	0	0
ABCD1P4	0	0	74	75	75
ABCD1P5	0	0	0	0	0
ABCD2	0	376	243778	150339	110835
ABCD3	15	2459	3965124	2647697	3379164
ABCD4	25	2854	4312930	2382150	6255628
ABCE1	54	1454	2041710	1484376	3428837
ABCF1	2570	4334	5494470	2468687	6809709
ABCF2	32	2218	2124156	1087067	3661291
ABCF2P1	48	338	4810	2191	3600
ABCF2P2	1	4	80	590	75
ABCF3	16	1499	4634685	1891053	6016292
ABCG1	552	1457	5900740	2833014	6397175
ABCG2	8	2896	2300993	1656314	3341229
ABCG4	1	375	188629	49575	30837
ABCG5	8	94	10970	5283	3806
ABCG8	1	56	798	300	485
ABHD1	1	155	26415	31777	73511
ABHD10	608	1969	1609661	1465546	2185658
ABHD11	144	788	1112999	1132683	1864126
ABHD12	47	5185	3987281	2486547	6536029
ABHD12B	5	264	33920	24154	7510
ABHD13	550	960	352903	247167	372349
ABHD14A	453	1581	1763506	953966	914091
ABHD14A-ACY1	0	5	1302599	1011714	1118573
ABHD14B	445	1514	1387326	1323134	2863527
ABHD15	5	250	81789	33549	60722
ABHD16A	36	92	6341114	1954873	8371489
ABHD16B	1	197	135751	50263	148007
ABHD17A	43	1201	2898603	1393793	3225432
ABHD17AP1	0	0	104894	52913	114798
ABHD17AP2	0	0	103639	49081	123027
ABHD17AP3	9	57	50172	20536	50052
ABHD17AP4	1	1	7399	5145	23954
ABHD17AP5	7	28	6637	2652	6637
ABHD17AP6	4	20	36141	16539	30647
ABHD17B	25	2459	660139	444346	841877
ABHD17C	4	1460	1218406	925753	1227102
ABHD2	59	5220	12668297	5206515	36350177
ABHD3	398	776	1167461	1110797	605727
ABHD4	932	1472	3189142	2017827	6914023
ABHD5	127	400	581073	490660	960511
ABHD6	696	2170	1405791	1048375	1607175
ABHD8	12	2025	416554	165918	30459
ABI1	1323	3107	20517697	16973285	46324412
ABI2	9302	14536	26640549	18521213	33118493
ABI3	285	480	99332	54237	266343
ABI3BP	56	179	1301793	213461	353174
ABL1	3208	4523	7008829	2282571	5094924
ABL2	62	4486	6293477	2588087	7088969
ABLIM1	1756	10586	23270105	14853544	19423115
ABLIM2	15	2106	3811500	332677	1090119
ABLIM3	1727	3460	3480518	4475146	8890144
ABO	11	22	16065	11471	53358
