110CLL	1228CLL	NC11_35	NC15_63	NC15_67
A1BG-AS1	90.25069	226.16808	0	61.75202	71.65792
A2M-AS1	0	0.48906	3.75862	6.08842	26.22028
A2ML1	5733.7194	3129.87674	2792.58232	1620.18369	1908.49404
AACS	0	0.7904	0	0.76456	0
AADAC	0	0.89908	0	0.36216	0
AADACL2	1021.3346	954.44594	1122.16858	673.68963	603.77152
AADACL3	0	0	0	0	0
AADACL4	0	0	0	0	0
AADACP1	52.56571	36.31368	10.12305	10.52483	20.1788
AAMDC	207.7253	255.52753	266.40598	237.20948	274.10252
AANAT	7.15624	7.87412	190.87619	319.40461	217.16921
AAR2	1554.4621	1721.9652	1816.0611	3617.3412	3782.3444
AARD	1.02117	0.741	0	0	0
AARSP1	0	0	0	0	0
AASDHPPT	0	0	0	0	0
AATF	2.37234	1041.80223	0	0	0
ABALON	0	0	0	0	0
ABAT	1094.27522	1032.90472	229.42788	571.29834	600.806200000001
ABCA13	34.82476	26.84396	232.06347	305.36412	239.26328
ABCA17P	480.79017	177.37963	157.80535	161.38767	166.61604
ABCA7	62.15082	33.2956	216.99865	243.82565	239.46039
ABCA9-AS1	0	0	0	0	0
ABCB10P1	1.00602	0.75088	1.29656	0.75987	0.98576
ABCB10P3	65.606	92.4029	83.9422	79.029	96.3727
ABCB5	3611.78343	2416.77456	2487.64155	2162.30833	2296.4928
ABCB8	1124.03461	630.412	1092.57963	1135.77754	1461.52568
ABCC1	90.212	104.13246	105.3054	172.76321	189.56566
ABCC10	3948.82843	2492.3428	1540.11803	1831.46331	1875.23283
ABCC13	1.59445	0.46436	3.23638	2.39938	0.29768
ABCC2	171.00772	121.45442	97.48197	120.83059	129.9637
ABCC3	750.71152	981.770969999999	423.4048	1035.06256	1098.18162
ABCC5-AS1	0.36469	0	0	0	0
ABCC6P1	0	0	0	0	0
ABCC6P2	0	0	0.70728	1.15767	0.7808
ABCD1	47.6496	51.60794	52.11965	45.48554	87.82784
ABCD1P2	0	0	0.63975	0	0
ABCD1P4	79.4264	38.33859	60.47708	94.9807	96.6188
ABCD1P5	17.80899	4.12984	0	0	0
ABCD3	1638.06194	1294.5401	1480.49182	820.90199	664.00653
ABCE1	4.41907	7.657	1.38132	3.70471	0.6588
ABCF1	5.87769	4.62384	4.2457	6.48136	2.01544
ABCF2P1	0	0	0	1.53064	0
ABCF2P2	0	0	0	0	0
ABCF3	0	0	0	0	0
ABCG1	2135.72116	1939.74283	1903.66373	1722.30913	1761.71056
ABCG4	1039.28699	710.79144	259.90442	430.99175	406.19185
ABCG8	475.67391	466.87579	109.63332	214.41722	291.08221
ABHD1	791.40224	296.76498	137.43401	228.85311	437.4535
ABHD10	0	1.06704	0	2.88219	0
ABHD11-AS1	0	0	0	0	0
ABHD12B	217.67959	381.58784	103.13803	85.52117	122.99588
ABHD13	0	0	0	0	0
ABHD14A	0	0	0	0	0
ABHD14A-ACY1	0	0.1976	1.61028	0	10.87264
ABHD15-AS1	0.16038	0	0	0	0
ABHD16B	573.927	1173.53	36.4036	38.3232	39.778
ABHD17AP1	34.3008	27.6105	9.7568	10.72727	35.5427
ABHD17AP6	12.30421	16.87867	8.3888	10.24372	8.584
ABHD17AP8	50.9966	44.937	35.7033	61.3138	74.9152
ABHD17AP9	14.57063	15.68803	8.03512	14.74109	19.16507
ABHD17C	0	0.37544	0	0	0
ABHD18	0	0	0	0	0
ABHD2	816.97	344.58431	776.86021	856.94002	807.853130000001
ABHD4	0	0	0.43452	0	0
ABHD5	1647.7342	1473.67899	969.67783	941.72802	839.13128
ABHD6	84.8422	86.34528	1.11612	52.64078	49.69304
ABI1P1	0	0	0	0	0
ABI2	1494.79314	1558.16927	15.74507	23.1514	45.44744
ABI3	0	0	0	0	0
ABL1	0	0	0	0	0
ABLIM3	135.01002	69.34459	109.52698	219.17336	226.35416
ABRACL	0	0	0	0	0
ABRAXAS2	0	0.494	0	0	0
ABT1	0	0.56316	0	0.34206	2.22528
ABTB1	0	0	0	0	0
AC000067.1	1.21069	1.34368	1.64141	0	0.25376
AC000068.1	213.4242	201.5151	223.1071	420.479	429.413
AC000068.2	61.6757	38.3332	57.7019	137.192	136.922
AC000068.3	40.5695	40.6455	54.6627	97.0904	99.6544
AC000078.1	41.2461	58.2478	21.9398	23.7283	26.7387
AC000089.1	17.0215	18.5976	7.94162	5.31043	12.8002
AC000095.2	0	0	0	0	0
AC000099.1	0	0	0	0	0
AC000111.2	2.6161	4.83059	1.3559	1.8573	0.94184
AC000123.1	0	0	0	0	0
AC000124.1	0	0	0	0	0
AC000362.1	0	0	0	0	0
AC000372.1	0	0	0	0	0
AC000374.1	0	0	0	0	0
AC000403.1	0	0	0	0	0
AC001226.1	0	0	0	0	0
AC001226.2	43.2931	55.27638	113.379	35.7265	25.40266
AC001228.1	0	0	0	0	0
AC001228.2	0	0	0	0	0
AC002059.2	0	0	0	0	0
AC002064.1	0	0	0	0	0
AC002069.2	0	0	0	0	0
AC002074.2	0	0	0	0.2515	0
AC002075.1	2.95134	1.83768	0.50729	3.66961	4.21632
AC002076.1	2.1589	6.73792	2.51096	1.14239	4.55792
AC002076.2	0	1.23994	0	0	0
AC002091.1	4.45474	0	0	0	0
AC002091.2	0.42772	0	0	0	0
AC002094.1	7.7515	11.6226	5.40987	8.11542	15.06546
AC002094.4	5.53973	7.39937	3.61486	4.16845	10.5902
AC002116.2	26.30552	32.94924	5.54158	8.65344	8.50584
AC002127.1	11.8081	25.007	9.0581	14.2032	18.8975
AC002127.2	44.90857	93.11947	33.78511	60.95052	68.46315
AC002128.1	2.55775	0	0.02982	0.76456	0.37088
AC002306.1	205.006	260.1001	210.3729	297.106	315.2
AC002310.1	0	0	0	0	0
AC002310.2	0	0	0	0	0
AC002310.6	0	0	0	0	0
AC002347.2	19.43841	13.40991	32.8598	84.287	91.7675
AC002350.1	0	0	0	0	0
AC002375.1	0	0	0	0	0
AC002381.1	0	1.37826	2.43	0	0.69784
AC002383.1	0.37916	4.18912	1.79083	2.21458	1.81536
AC002398.2	0	0	0	0	0
AC002400.1	0	0.31616	0	0	0
AC002401.1	0.36936	0	0	0	0
AC002401.4	0	0	0	0	0
AC002428.2	0	0	0	0	0
AC002429.1	0.39852	1.50176	0.02556	1.37959	0.6588
AC002451.1	0	0	0	0	1.48352
AC002451.2	0	0	0	0	0.74176
AC002454.1	295.89611	201.38846	147.10152	177.29897	130.31348
AC002456.2	0	0	0	0	0
AC002463.1	188.85407	138.1905	121.24419	158.7304	133.676
AC002464.1	0	0	0	0	0
AC002465.1	0.35028	0	0	0	0
AC002470.2	129.16028	119.274	113.54515	126.71125	157.29575
AC002472.1	21.69073	24.61242	19.68488	18.98583	21.19616
AC002480.1	0.73876	0	1.49171	1.91292	0.74176
AC002480.2	0	0	0	0	0.35136
AC002486.2	1.65262	13.8947	0	0.74965	2.68888
AC002504.1	0	0	0	0.76456	0.18544
AC002511.3	44.64481	52.0592	23.10736	22.3539	17.41762
AC002519.1	2.58094	4.31756	18.1123	15.1174	21.4383
AC002519.2	0	0	0	0	0
AC002524.1	0	0	0	0	0
AC002540.1	0	0	0	0	0
AC002550.1	13.61723	23.82479	1.34212	3.32266	7.3444
AC002551.1	0	0.45448	0	2.26455	0.01952
AC002553.1	0	0	0	0.7598	0
AC002558.2	0	0	0	0	0
AC002563.1	0	0	0	0	0
AC002996.1	0.85095	0.80522	2.02907	1.37406	1.12728
AC003001.1	0	0	0.55427	0	0
AC003001.2	0	0	0.92101	0.31689	0.98576
AC003002.1	0	0	0	0	0
AC003002.2	0	0	0	0	0
AC003002.3	0	0	0	0	0
AC003005.1	1.44934	0	0	0.76456	0
AC003005.2	0	0	0	0.38228	0
AC003006.1	0	0.37544	0	1.39343	0.15616
AC003035.2	1.5221	0.41002	1.29656	1.2378	0.36112
AC003042.1	0	0.75088	0	0	0
AC003043.1	2.71345	2.88002	4.12222	2.00349	2.99144
AC003070.1	3.30229	3.24064	5.42233	2.3704	7.72504
AC003070.4	3.30229	3.24064	5.42233	2.3704	7.72504
AC003092.1	0	0	0	0	0
AC003101.1	0	0	0	0.28168	0
AC003101.2	1.47854	0	0	2.2801	0
AC003102.1	155.78534	128.30842	81.42417	63.69563	49.5545
AC003103.1	0	0.40508	0	0	0
AC003659.1	102.7849	60.70804	14.46729	6.97207	32.1819
AC003666.1	7.713	5.51284	0.13206	2.96938	1.70312
AC003682.1	0.36936	0	0	0	0.37088
AC003684.1	3.25738	1.56598	1.04885	0.80049	0.50752
AC003686.1	0	0	0	0	0
AC003956.1	0	0	0	0	0
AC003957.1	0	0	0	0	0
AC003958.1	0	0	0	0	0
AC003958.2	0.73892	0	0.7455	3.06096	1.77632
AC003958.4	0	0	0	0	0
AC003958.5	0.73872	0	0	0.07545	0
AC003965.2	0	0	0	0	0
AC003975.1	0	0	0	0	0
AC003976.1	4.72218	4.0302	7.36997	9.19843	14.5878
AC003976.2	54.85256	35.82483	28.99448	26.34138	32.43017
AC003982.1	0	0	0	0	0
AC003984.1	159.8902	295.2636	332.40762	278.20912	380.11756
AC003986.1	444.7679	574.0929	445.3943	949.703	860.037
AC003986.2	462.9632	437.1123	435.1135	666.0232	608.2585
AC003986.3	197.2879	159.6807	172.0101	283.563	277.602
AC003989.1	1.01162	0.75088	1.21442	0	2.29848
AC003989.2	0	0	0.95074	0.38228	0.6588
AC003991.1	2.13014	0	0	1.0563	0
AC003991.2	0	0	0	0	0
AC003992.1	2.60143	0	3.83223	7.66224	3.9772
AC004000.1	0	0	0	0	0
AC004006.1	0	0	0	0	0
AC004009.1	204.37308	135.95814	89.86244	60.22588	62.50416
AC004009.2	275.105	212.6	160.608	125.924	136.545
AC004009.3	0	1.17078	0.80182	0.75953	1.48352
AC004012.1	0	0	0	0	0
AC004014.1	33.58595	36.69352	10.57609	27.18266	31.98638
AC004022.1	0	0	0	0	2.93288
AC004023.1	177.227	136.322	46.6082	32.6176	33.3469
AC004039.1	0	0	0	0	0
AC004052.1	0	0	0	0	0
AC004062.1	0	0.75088	0.852	0	0.74176
AC004063.1	0	0	0	0	0
AC004067.1	8.98752	0	0	0.37222	0
AC004076.2	0.16524	0	0	1.33316	0
AC004080.4	0	0	0	0	1.48352
AC004099.1	0	1.19548	0	0	0.00976
AC004129.2	0	0.25194	0	0.77478	0.40992
AC004147.2	0.72902	0	0	0	0
AC004147.3	0	0	0	0	0
AC004148.1	0	0	0	0	0
AC004156.1	0.73872	0.75088	0	0	0
AC004158.1	0.73875	3.7544	4.22343	25.33361	4.45056
AC004160.1	202.67912	129.93667	106.90138	107.89712	188.31605
AC004160.2	0	0	0	0	0
AC004217.1	0	0	0	0	0
AC004217.2	0	0	0	0	0
AC004221.1	2.57642	2.5441	5.29896	7.51942	16.88476
AC004223.1	0	0	0	2.0234	0
AC004223.3	104.545	87.6814	30.0508	45.1619	44.8372
AC004224.1	104.482	63.415	34.672	38.6764	38.4867
AC004224.2	81.17271	62.70809	26.05664	24.25741	20.30249
AC004231.1	0	0	0	0	0
AC004231.2	0	0	0	0	0
AC004231.3	0	0	0	0	0
AC004232.1	3.70592	0	0	0	0
AC004232.3	11.3753	0	0	0	0
AC004233.2	0	0	0	0	0
AC004233.3	0	0	0	0	0
AC004241.1	0.73872	0	0	0	0
AC004241.2	0	0	0	0	0
AC004241.4	0	0	0	0	0
AC004253.1	0.55927	0.36062	0.34545	0.51343	0.81984
AC004253.2	0	0	0	0	0
AC004263.1	0	0	1.26622	0	0
AC004264.1	0	0	0	0	0
AC004381.2	1.41493	1.3091	0.89953	3.9019	4.79736
AC004383.1	0	0	0	0	0
AC004408.1	4.92139	9.66745	0.77977	3.13075	12.04896
AC004408.2	19.628	36.5538	4.44162	16.6259	43.6955
AC004415.1	0	0.74594	0.38773	1.30882	0.20984
AC004448.1	52.4742	49.6638	44.4588	81.8552	106.5263
AC004453.1	0	0	0	0	0
AC004461.1	0	0.56316	0	0	0
AC004466.1	0	0	0	0	0
AC004466.3	0	0	0	0	0
AC004467.1	3.19997	3.76918	1.44526	2.13895	3.93816
AC004470.1	0	0	0	0	0
AC004471.1	87.1588	108.4951	140.817	225.945	189.3235
AC004486.1	0	0	0	0	0
AC004494.1	1.8469	0.75088	0	0	0
AC004522.1	18.7046	14.4091	6.00288	5.35592	7.74944
AC004522.2	0	0.30134	0	0	0
AC004528.2	0	0	0.0426	0	0.46848
AC004540.1	78.19257	50.49462	27.82749	48.0635	30.40309
AC004556.1	0	0	0	0	0
AC004584.1	0	0	0	0	0
AC004584.2	0	0	0	0	0
AC004584.3	0	0	0	0	0
AC004585.1	6.26723	9.70199	1.87063	0.11066	3.63072
AC004593.3	155.79516	143.68649	209.94704	320.55802	329.24508
AC004594.1	0	0	0	0	0
AC004596.1	158.921	70.1121	62.3099	68.5987	56.0867
AC004597.1	0	0.75088	0.52004	0	0.20008
AC004637.1	7.55751	1.38814	0	0	0
AC004656.1	0.36936	0.28158	0	4.20056	3.86008
AC004672.2	639.8629	576.1477	554.6336	323.7099	282.5701
AC004674.1	0.06318	0.40014	0	0.21126	0.53192
AC004675.1	363.39423	303.28667	98.2041	151.82042	152.70965
AC004690.1	0	0	0	0	0
AC004690.2	0.36936	0	0.64752	0	0.65392
AC004691.2	1.22053	0.30628	1.22705	0	2.1472
AC004692.1	0	0	0	0	0
AC004702.1	0	0	0	0.29677	0
AC004707.1	0	0	0	0	0.74176
AC004754.1	2.45484	1.38814	0.27264	1.05161	0
AC004771.2	0	0	0	0	0
AC004771.3	0	0	0	0	0
AC004771.4	0	0	0	0	0
AC004771.5	0	0	0	0	0
